No.,사업체고유번호,사업자등록번호,법인등록번호,행정구역분류부호,사업체명,대표자명,소재지_도로명_읍면,소재지_도로명_도로명,소재지_도로명_본번,소재지_도로명_부번,소재지_도로명_빌딩명,소재지_도로명_빌딩동,소재지_도로명_빌딩층,소재지_도로명_빌딩호,소재지_도로명_도로명코드,소재지_도로명_우편번호,소재지_지번_읍면동,소재지_지번_리,소재지_지번_번지,소재지_지번_호,소재지_지번_통,소재지_지번_반,소재지_지번_공단,소재지_지번_블록,소재지_지번_로트,광역,상세주소,Latitude,Longitude,좌표_위도,좌표_경도,업종대분류_임시,업종중분류_임시,전화번호_지역번호,전화번호_국번호,전화번호_일련번호,주요_16개_도/시_전화번호,TEL,HP,팩스번호,산업분류_표준산업분류대분류,산업분류_표준산업분류중분류,산업분류_표준산업분류소분류,산업분류_표준산업분류세분류,산업분류_표준산업분류세세분류,산업분류_자체업종코드,조직형태,사업체구분,종사자수_2022,종사자수_2023,종사자수_2024,설립일자_연,설립일자_월,설립일자_일,설립일자_개업일,설립일자_인허가일,홈페이지,제품_주생산품,제품_판매방식,재무2021_매출액(국내),재무2021_매출액(해외),재무2022_회계연도,재무2022_결산월,재무2022_매출액,재무2022_매출액(국내),재무2022_매출액(해외),재무2022_순이익,재무2022_자본금,재무2022_영업이익,합계2022_자산,합계2022_자본,합계2022_부채,재무2023_자본,재무2023_부채,재무2023_매출,재무2023_수출,재무2023_연구개발,재무2023_매출액(국내),재무2023_매출액(해외),대표중견기업,저작권,이메일,기업상장,특허_국내,특허_해외,회사규모,R&D조직형태,벤처기업지정,SW사업자등록,출처,수집년도,latitude,longitude
278548,,,,,(주)석정건설,이미경,,,,,,,,,,우) 45013,,,,,,,,,,울산,"울주군 서생면 약수터길 19, 102-1호",35.3835829,129.3391841,,,,,,,,,0552530356,,552530357.0,,전문직별 공사업,,,,,일반,,,,,2007.0,5.0,7.0,,,,토목시설물건설관련업,,,,2015.0,,1727.0,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
274127,,,,,(주)선진창호,홍순근,,,,,,,,,,우) 44712,,,,,,,,,,울산,남구 산업로 671 (삼산동),35.5427415,129.3447049,,,,,,,,,0522895800,,522715804.0,,고무 및 플라스틱제품 제조업,,,22223.0,,일반,,11.0,,,2003.0,7.0,31.0,,,,"PVC창호 제조,창호공사",,,,2014.0,,1756.0,,,,,,1384.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
276575,,,,,(주)신안,전희술,,,,,,,,,,,,,,,,,,,,울산,울주군 온산읍 우봉길 35 (우봉리),35.4032959,129.3546231,,,,,,,,,0522405584,,522371041.0,,기타 운송장비 제조업,,,31114.0,,일반,,5.0,,,2007.0,4.0,2.0,,,,선박기자재 선박도장 선박 건조 선박기자재 제조 선박도장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
278692,,,,,(주)씨앤지메디컬,최기용,,,,,,,,,,우) 44252,,,,,,,,,,울산,"북구 산성로 40, 601,602호",35.5677644,129.3682541,,,,,,,,,0522727677,,522723444.0,,"의료, 정밀, 광학 기기 및 시계 제조업",,,27199.0,,일반,,,,,2014.0,12.0,17.0,,,,"의료용기기 제조,소매",,,,2020.0,,183.0,,,,,,407.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
276605,,,,,(주)씨에이치테크,김종윤,,,,,,,,,,,,,,,,,,,,울산,울주군 온양읍 내광리 지더블유일반산업단지 10블럭 5로트,35.4285863,129.2170557,,,,,,,,,0522698347,,522698348.0,,금속 가공제품 제조업; 기계 및 가구 제외,,,,,일반,,8.0,,,2016.0,11.0,18.0,,,,,,,,,,,,,,,,3206.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
278790,,6208147507.0,,,(주)엘라,조정석,,,,,,,,,,우) 44713,,,,,,,,,,울산,"남구 삼산로 303, 상가 102-1, 2, 3",35.5402567,129.3400914,,,,,,,,,0522699088,,522699089.0,부동산업,부동산업,,,68121.0,,외감,,2.0,,,2013.0,2.0,25.0,,,,,,,,2019.0,12.0,396.0,,,-3069.0,520.0,-1090.0,27138.0,-8848.0,35986.0,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
278800,,,,,(주)엠에이치에스,이종순,,,,,,,,,,우) 44256,,,,,,,,,,울산,"북구 명촌동 899-5번지, 120비6엘",35.551154,129.3558002,,,,,,,,,0522766647,,522766648.0,,금속 가공제품 제조업; 기계 및 가구 제외,,,25921.0,,일반,,35.0,,,2008.0,7.0,31.0,,,www.mhs1072.com,금속 열처리,,,,2017.0,,2907.0,,,,,,1157.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
279011,,,,,(주)정우유통,엄정우,,,,,,,,,,우) 44632,,,,,,,,,,울산,"남구 북부순환도로 17, 1001-1호",35.5517231,129.265377,,,,,,,,,0522568997,,522568918.0,,도매 및 상품 중개업,,,46311.0,,일반,,4.0,,,2003.0,11.0,4.0,,,,육류조제수프및균질화식품 육류도매업 식자재(농산물) 식료품 도매,,,,2015.0,,796.0,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
276952,,,,,(주)태영전기,안영희,,,,,,,,,,우) 45014,,,,,,,,,,울산,"울주군 서생면 에너지산업1로 45, 6블럭-4(에너지융합일반산업단지)",35.35272,129.3193349,,,,,,,,,0522850301,,522850302.0,,전문직별 공사업,,,42311.0,,일반,,5.0,,,2002.0,6.0,14.0,,,,전기공사,,,,2017.0,,2558.0,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
274563,,,,,(주)태웅정보서비스시스템,황웅경,,,,,,,,,,우) 44632,,,,,,,,,,울산,"남구 북부순환도로 17, 1006-1호",35.5517231,129.265377,,,,,,,,,0522492735,,522232735.0,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,62021.0,,일반,,9.0,,,2001.0,6.0,12.0,,,www.goodinfocar.com,"시스템구축및관리,네트웍구축",,,,2015.0,,892.0,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
274603,,,,,(주)평강개발,김반석,,,,,,,,,,우) 44761,,,,,,,,,,울산,"남구 여천로5번길 28-2, 관리동 102호",35.5248771,129.3333973,,,,,,,,,07082884919,,,,부동산업,,,68112.0,,일반,,,,,2010.0,12.0,22.0,,,,"부동산 임대,매매,일반건축공사,주택신축판매,의류 도소매",,,,2017.0,,18.0,,,,,,6889.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
274630,,6108119493.0,,,(주)한림이앤씨건축사사무소,윤찬중,,,,,,,,,,우) 44632,,,,,,,,,,울산,"남구 북부순환도로 17, 1605(무거동, 남운프라자)",35.5517231,129.265377,,,,,,,,,0522770163,,522770168.0,"전문, 과학 및 기술 서비스업","건축 기술, 엔지니어링 및 기타 과학기술 서비스업",,,72111.0,,외감,,254.0,,,1994.0,8.0,1.0,,,www.hanlimeng.com,건축설계 설계감리 설계서비스 종합감리서비스 건축설계 감리 전기 소방 감리,,,,2020.0,12.0,21679.0,,,3029.0,600.0,3891.0,18229.0,17959.0,270.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
275873,,,,,(주)현우종합운수,이한우,,,,,,,,,,우) 44249,,,,,,,,,,울산,"북구 진장유통로 15, 109-1호",35.571737,129.3548369,,,,,,,,,0522571412,,522571413.0,,육상 운송 및 파이프라인 운송업,,,49301.0,,일반,,10.0,,,1998.0,11.0,20.0,,,,"도로화물운송 운송주선 일반 화물자동차 운송업 화물운송,화물알선",,,,2015.0,,649.0,,,,,,1007.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
279487,,,,,뉴모드(주),윤세영,,,,,,,,,,,,,,,,,,,,울산,북구 진장동 26블럭 5로트,35.5667408,129.3584499,,,,,,,,,0522690989,,522600959.0,,도매 및 상품 중개업,,,46622.0,,일반,,7.0,,,2004.0,12.0,1.0,,,,철물 공구 등 철물 공구 등 철물 공구 등,,,,2013.0,,4875.0,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
279515,,,,,대림항업(주),이소영,,,,,,,,,,우) 44780,,,,,,,,,,울산,남구 장생포동 325번지,35.5041523,129.3690962,,,,,,,,,0522660116,,522690116.0,,도매 및 상품 중개업,,,46594.0,,일반,,27.0,,,1998.0,2.0,4.0,,,www.daelimmarine.co.kr,선식 선박안전설비수리 선박용품 방수복 선형품선식 선식 선용품 도소매 선박안전설비(기계부품) 수리 선박 구성부분품 제조업,,,,2017.0,,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
279561,,,,,대협종합건설(주),신성호,,,,,,,,,,우) 44658,,,,,,,,,,울산,"남구 봉월로 35, 2층",35.5355531,129.3060601,,,,,,,,,0543736275,,543736274.0,,종합 건설업,,,41220.0,,일반,,8.0,,,2004.0,3.0,4.0,,,,토목공사,,,,,,,,,,,,3489.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
279614,,,,,두성기전(주),한우구,,,,,,,,,,,,,,,,,,,,울산,남구 웅촌로 1347 (무거동),35.548306,129.2747904,,,,,,,,,0522479453,,522242505.0,,전문직별 공사업,,,42312.0,,일반,,9.0,,,1993.0,8.0,5.0,,,,전기공사 전기공사 판넬 도매업 계장 도매업 계기 도매업,,,,2014.0,,8705.0,,,,,,3702.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
277889,,,,,두진건설(주),김석준,,,,,,,,,,우) 44533,,,,,,,,,,울산,"중구 중앙길 21, 3층 (우정동)",35.5538173,129.3153131,,,,,,,,,0522435511,,522430022.0,,전문직별 공사업,,,42201.0,,일반,,5.0,,,1988.0,4.0,1.0,,,,"상하수도설비공사,철근콘크리트공사,건축공사",,,,2014.0,,18.0,,,,,,1287.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
275967,,,,,무진산업(주),임정숙,,,,,,,,,,,,,,,,,,,,울산,북구 호계동 5-9번지,35.6288727,129.3643009,,,,,,,,,0522890406,,522830239.0,,자동차 및 트레일러 제조업,,,30399.0,,일반,,49.0,,,2009.0,5.0,1.0,,,,자동차부품 제조,,,,,,,,,,,,4065.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
277258,,,,,미광건설(주),정명준,,,,,,,,,,,,,,,,,,,,울산,울주군 범서읍 천상리32블럭 4롯트,35.5671662,129.2340556,,,,,,,,,0522253310,,522251033.0,,전문직별 공사업,,,42132.0,,일반,,6.0,,,1996.0,12.0,1.0,,,,토목 건축공사업,,,,2020.0,,454.0,,,,,,853.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
277284,,,,,비에스티(주),홍용표,,,,,,,,,,,,,,,,,,,,울산,울주군 언양읍 반천리 14블럭 2로트,35.5634697,129.1863564,,,,,,,,,0522647500,,,,자동차 및 트레일러 제조업,,,30399.0,,일반,,10.0,,,2014.0,12.0,3.0,,,,"자동차부품,금속조립가공,레이저가공 제조,강관 도소매",,,,,,,,,,,,5720.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
279773,,,,,성한종합건설(주),문건주,,,,,,,,,,우) 44670,,,,,,,,,,울산,"남구 봉월로 108, 4층",35.5419604,129.3063572,,,,,,,,,05227483356,,522741990.0,,종합 건설업,,,41100.0,,일반,,8.0,,,2013.0,5.0,7.0,,,,건축공사,,,,2016.0,,1350.0,,,,,,902.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
279798,,,,,소양약품(주),김윤건,,,,,,,,,,,,,,,,,,,,울산,"중구 화합로 463, 1층",35.560146,129.3377865,,,,,,,,,0529157180,,529157100.0,,도매 및 상품 중개업,,,46441.0,,일반,,6.0,,,2005.0,10.0,1.0,,,,"의약품,화장품 및 비누 도매업",,,,2017.0,,3154.0,,,,,,2705.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
279816,,6108104587.0,,,신도여객자동차(주),"김대종,김일균",,,,,,,,,,우) 44959,,,,,,,,,,울산,울주군 청량읍 웅촌로 1263 (율리) 118-2,35.53,129.2464212,,,,,,,,,0522777725,,522777726.0,운수 및 창고업,육상 운송 및 파이프라인 운송업,,,49210.0,,외감,,167.0,,,1980.0,2.0,27.0,,,,시내버스운송 여객 운송업,,,,2020.0,12.0,13603.0,,,-624.0,150.0,-393.0,3729.0,-9390.0,13118.0,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
277928,,,,,신승(주),김장수,,,,,,,,,,,,,,,,,,,,울산,중구 효산2길 12(효문동),35.5704628,129.3726043,,,,,,,,,0522884261,,,,,,,,,외감,,,,,2017.0,12.0,1.0,,,,자동차부품 제조,,,,2020.0,,9457.0,,,,,,2649.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
277369,,,,,에스씨건설(주),신인섭,,,,,,,,,,,,,,,,,,,,울산,울주군 범서읍 천상리 천상구획정리지구 19블럭 5롯트 비동 2층,35.554341,129.2197416,,,,,,,,,0535936066,,522124736.0,,전문직별 공사업,,,42121.0,,일반,,7.0,,,2009.0,2.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
276031,,,,,엠코(주),신경식,,,,,,,,,,우) 44222,,,,,,,,,,울산,"북구 매곡산업로 35, 112-2호",35.6496968,129.3649115,,,,,,,,,0522870665,,522870664.0,,기타 기계 및 장비 제조업,,,29299.0,,일반,,5.0,,,2009.0,9.0,10.0,,,,"산업기계,초저온용기,차량개조,엔진부품 제조,도소매,무역",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
279988,,6208129440.0,,,울산청천(주),정영화,,,,,,,,,,,,,,,,,,,,울산,동구 동해안로 500 (미포동),35.5357476,129.4441568,,,,,,,,,0527072010,,527072013.0,"수도, 하수 및 폐기물 처리, 원료 재생업","하수, 폐수 및 분뇨 처리업",,,37011.0,,외감,,4.0,,,2007.0,10.0,24.0,,,,하수관거정비공사 하수폐기물처리시설공사 건물 건설 진주시 하수관거시설 건설 임대 관리,,,,2020.0,12.0,4301.0,,,-327.0,11425.0,2000.0,68037.0,8643.0,59395.0,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
275044,,2208662341.0,,,유엔씨티(주),김성일,,,,,,,,,,,,,,,,,,,,울산,"남구 용연로 370 (황성동, 울산신항)",35.4748302,129.3599276,,,,,,,,,0522702006,,522702010.0,운수 및 창고업,창고 및 운송관련 서비스업,,,52942.0,,외감,,23.0,,,2003.0,4.0,30.0,,,www.unct.co.kr,"컨테이너화물하역 컨테이너화물운송 울산신항 컨테이너부두의 건설,관리 및 운영 신항개발 민간시설사업에 허용된 부대사업 항만운송 관련 사업 수상화물취급 컨테이너부두 관리",,,,2020.0,12.0,39243.0,,,7842.0,68000.0,12529.0,152726.0,37739.0,114986.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
275046,,6108125898.0,,,유화산업개발(주),이상찬,,,,,,,,,,우) 44760,,,,,,,,,,울산,남구 번영로16번길 6 (야음동),35.5269839,129.3314683,,,,,,,,,0522715161,,522655794.0,건설업,전문직별 공사업,,,42131.0,,외감,,32.0,,,1996.0,6.0,3.0,,,,"철물공사,금속구조물공사,기계설비공사,전기공사,도장공사,옥외광고,건설자재 도소매",,,,2020.0,12.0,26628.0,,,857.0,1000.0,1124.0,15691.0,9938.0,5753.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
280215,,,,,플랜테크(주),권재범,,,,,,,,,,우) 44712,,,,,,,,,,울산,남구 삼산동 214번지 6층,35.5410799,129.3504761,,,,,,,,,0522662557,,522662587.0,,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",,,72129.0,,일반,,9.0,,,2006.0,1.0,2.0,,,www.eplantech.com,"전기 계장설계도서 외 산업용기계,장비 도매 광고 장식용패널제작",,,,2015.0,,844.0,,,,,,566.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
276098,,,,,한신콤프레샤(주),추민호,,,,,,,,,,우) 44252,,,,,,,,,,울산,"북구 산성로 40, 908-4호",35.5677644,129.3682541,,,,,,,,,0522872556,,522875590.0,,도매 및 상품 중개업,,,46599.0,,일반,,10.0,,,2001.0,11.0,28.0,,,,"공기압축기 공압기기 유압기기 제조 도매 공기압축기,공압기기,유압기기 제조,도매,공기압축기 제조 및 판매업 공압기기 제조 및 판매업 유압기기 제조 및 판매업",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
277993,,,,,한일전력(주),배경철,,,,,,,,,,,,,,,,,,,,울산,"중구 내오산로 101, 2층 (태화동)",35.5542066,129.2928416,,,,,,,,,0522497272,,522497274.0,,전문직별 공사업,,,42311.0,,일반,,20.0,,,1995.0,3.0,10.0,,,www.hanil21.co.kr,전기공사업 전기공사업 내외부 전기공사 전기공사,,,,2014.0,,7705.0,,,,,,3859.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
280320,,,,,협성전기(주),박효열,,,,,,,,,,우) 44681,,,,,,,,,,울산,"남구 번영로267번길 6, 2층",35.5483576,129.3219953,,,,,,,,,0522616042,,522616043.0,,전문직별 공사업,,,42311.0,,일반,,6.0,,,2009.0,4.0,15.0,,,,전기 공사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
277996,,,,,희진건설(주),구자민,,,,,,,,,,우) 44533,,,,,,,,,,울산,"중구 당산길 20-1, 1층",35.5551313,129.3151501,,,,,,,,,0522582410,,522582403.0,,전문직별 공사업,,,42121.0,,일반,,9.0,,,2002.0,3.0,5.0,,,,"토공사,철근콘크리트공사,상하수도공사,미장방수공사,주택공사,보링그라우팅공사,포장공사,시설물유지관리공사",,,,2017.0,,2072.0,,,,,,1609.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
277681,,,,,(주)산양,엄재목,,,,,,,,,,,,,,,,,,,,울산,"중구 신기길 123, 2층",35.5515147,129.292582,,,,,,,,,0522242742,,,,,,,,,외감,,,,,2003.0,4.0,20.0,,,,,,,,,,,,,,,,22464.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
275746,,,,,(주)유성테크,김대현,,,,,,,,,,,,,,,,,,,,울산,북구 명촌동진장명촌지구 122블럭 2노트,35.5458637,129.3577722,,,,,,,,,0522895657,,522895658.0,,전기장비 제조업,,,28123.0,,일반,,7.0,,,2005.0,1.0,12.0,,,,자동화장비유지보수 산업용로봇 제어반 로봇시스템제작 자동화시스템패널 로봇자동화프로그램 방사선장치 및 전기식 진단기기 제조업 로봇시스템(자동제어반) 제조업 자동화장비 유지보수업,,,,2020.0,,2050.0,,,,,,10413.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
279451,,,,,금동건설(주),심명보,,,,,,,,,,,,,,,,,,,,울산,중구 신기길 123 (태화동),35.5515147,129.292582,,,,,,,,,0522242742,,522242745.0,,종합 건설업,,,41220.0,,일반,,10.0,,,1999.0,5.0,29.0,,,,토목건축공사,,,,2015.0,,2471.0,,,,,,3603.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
279527,,,,,대신환경(주),김기수,,,,,,,,,,우) 44201,,,,,,,,,,울산,북구 농서로 326-1 (달천동),35.6339221,129.3141428,,,,,,,,,0522449115,,522863700.0,,"폐기물 수집, 운반, 처리 및 원료 재생업",,,38210.0,,일반,,5.0,,,2001.0,9.0,27.0,,,,"일반폐기물수집운반 지정외 폐기물 수집운반업 폐기물처리,재생재료,가공처리업,파지,고철",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
274913,,,,,세영종합건설(주),박유규,,,,,,,,,,우) 44669,,,,,,,,,,울산,"남구 팔등로 13, 201(신정동,세영시티타워)",35.5443768,129.3081096,,,,,,,,,0522473030,,522566278.0,,종합 건설업,,,41100.0,,외감,,33.0,,,1997.0,2.0,15.0,,,www.se-young.net,"건축공사,토목공사,전기공사,부동산 컨설팅,건축설계",,,,2020.0,,25829.0,,,,,,25712.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
